family,rate,system,seeds,target_concurrency_mean,scored_calls_mean,output_tokens_per_s_mean,first_ttft_p50_s_mean,first_ttft_p95_s_mean,resume_ttft_p50_s_mean,resume_ttft_p95_s_mean,resume_ttft_p99_s_mean,tpot_p50_ms_mean,tpot_p95_ms_mean,turn_latency_mean_s_mean,turn_latency_p50_s_mean,turn_latency_p99_s_mean,wall_s_mean,slo_names,slo_good_tokens_per_s
claude,0.0005,baseline_cpu_ssd,3,11.0,5880.666667,17.820569,0.294248,11.746106,0.416485,2.116226,3.86075,4.735396,9.426206,4.59427,1.921409,42.630022,216.528082,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,17.7|17.7|17.7|17.2|17.2|17.2|17.5|17.5|17.5
claude,0.0005,hbf_prefill_p4d4,3,11.0,5880.666667,17.820569,0.446044,12.740588,0.423413,2.123873,3.655306,4.736878,9.425088,4.611961,1.9321,42.654384,218.596217,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,17.7|17.7|17.7|17.2|17.2|17.2|17.5|17.5|17.5
claude,0.0005,oracle_infinite_hbm,3,11.0,5880.666667,17.820569,0.294137,11.745242,0.415381,2.102564,3.565203,4.734046,9.417618,4.584266,1.915749,42.586591,204.711153,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,17.7|17.7|17.7|17.2|17.2|17.2|17.5|17.5|17.5
claude,0.001,baseline_cpu_ssd,3,21.0,5701.0,33.672703,0.29654,10.922791,0.407832,2.225326,4.33961,4.848795,10.615599,4.816367,2.000152,43.408883,201.12395,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,33.4|33.4|33.4|32.4|32.4|32.4|33.1|33.1|33.1
claude,0.001,hbf_prefill_p4d4,3,21.0,5701.0,33.672703,0.451089,12.347876,0.415756,2.212674,3.77869,4.846594,10.57082,4.820873,2.011939,43.720851,202.708927,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,33.4|33.4|33.4|32.5|32.5|32.5|33.1|33.1|33.1
claude,0.001,oracle_infinite_hbm,3,21.0,5701.0,33.672703,0.290754,11.350152,0.407307,2.187517,3.584294,4.847398,10.504791,4.790586,1.996424,43.636419,189.926092,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,33.4|33.4|33.4|32.5|32.5|32.5|33.2|33.2|33.2
claude,0.002,baseline_cpu_ssd,3,42.0,5834.0,68.320598,0.299686,11.345814,0.452957,3.430701,9.083789,5.358089,13.410015,5.592234,2.318041,53.02307,200.086703,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,67.3|67.3|67.3|64.7|64.7|64.7|66.3|66.3|66.3
claude,0.002,hbf_prefill_p4d4,3,42.0,5834.0,68.311985,0.472506,12.722131,0.460221,3.184357,8.384922,5.361698,13.339445,5.593174,2.340265,52.981756,202.281546,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,67.4|67.4|67.4|64.7|64.7|64.7|66.4|66.4|66.4
claude,0.002,oracle_infinite_hbm,3,42.0,5835.0,68.314648,0.301725,11.286954,0.441668,2.8686,5.65047,5.323037,14.123415,5.454693,2.310819,51.006377,187.171081,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,67.8|67.8|67.8|65.6|65.6|65.6|67.1|67.1|67.1
claude,0.004,baseline_cpu_ssd,3,84.0,5716.333333,127.279587,0.370239,13.154535,0.458539,4.334809,13.734876,6.692771,15.325837,6.168126,2.655799,55.818305,165.573604,ttft10_tpot100|ttft10_tpot150|ttft10_tpot50|ttft3_tpot100|ttft3_tpot150|ttft3_tpot50|ttft5_tpot100|ttft5_tpot150|ttft5_tpot50,124.0|124.0|124.0|117.6|117.6|117.6|121.5|121.5|121.5
